id,canton_id,codigo,distrito
147,22,11,CONCEPCIÓN
148,22,12,ZAPOTAL
149,22,13,PEÑAS BLANCAS
150,23,1,GRECIA
151,23,2,SAN ISIDRO
152,23,3,SAN JOSÉ
153,23,4,SAN ROQUE
154,23,5,TACARES
155,23,6,RÍO CUARTO
156,23,7,PUENTE DE PIEDRA
157,23,8,BOLÍVAR
158,24,1,SAN MATEO
159,24,2,DESMONTE
160,24,3,JESÚS MARÍA
161,24,4,LABRADOR
162,25,1,ATENAS
163,25,2,JESÚS
164,25,3,MERCEDES
165,25,4,SAN ISIDRO
166,25,5,CONCEPCIÓN
167,25,6,SAN JOSE
168,25,7,SANTA EULALIA
169,25,8,ESCOBAL
170,26,1,NARANJO
171,26,2,SAN MIGUEL
172,26,3,SAN JOSÉ
173,26,4,CIRRÍ SUR
174,26,5,SAN JERÓNIMO
175,26,6,SAN JUAN
176,26,7,EL ROSARIO
177,26,8,PALMITOS
178,27,1,PALMARES
179,27,2,ZARAGOZA
180,27,3,BUENOS AIRES
181,27,4,SANTIAGO
182,27,5,CANDELARIA
183,27,6,ESQUÍPULAS
184,27,7,LA GRANJA
185,28,1,SAN PEDRO
186,28,2,SAN JUAN
187,28,3,SAN RAFAEL
188,28,4,CARRILLOS
189,28,5,SABANA REDONDA
190,29,1,OROTINA
191,29,2,EL MASTATE
192,29,3,HACIENDA VIEJA
193,29,4,COYOLAR
194,29,5,LA CEIBA
195,30,1,QUESADA
196,30,2,FLORENCIA
197,30,3,BUENAVISTA
198,30,4,AGUAS ZARCAS
199,30,5,VENECIA
200,30,6,PITAL
201,30,7,LA FORTUNA
202,30,8,LA TIGRA
203,30,9,LA PALMERA
204,30,10,VENADO
205,30,11,CUTRIS
206,30,12,MONTERREY
207,30,13,POCOSOL
208,31,1,ZARCERO
209,31,2,LAGUNA
210,31,4,GUADALUPE
211,31,5,PALMIRA
212,31,6,ZAPOTE
213,31,7,BRISAS
214,32,1,SARCHÍ NORTE
215,32,2,SARCHÍ SUR
216,32,3,TORO AMARILLO
217,32,4,SAN PEDRO
218,32,5,RODRÍGUEZ
219,33,1,UPALA
220,33,2,AGUAS CLARAS
221,33,3,SAN JOSÉ o PIZOTE
222,33,4,BIJAGUA
223,33,5,DELICIAS
224,33,6,DOS RÍOS
225,33,7,YOLILLAL
226,33,8,CANALETE
227,34,1,LOS CHILES
228,34,2,CAÑO NEGRO
229,34,3,EL AMPARO
230,34,4,SAN JORGE
231,35,2,BUENAVISTA
232,35,3,COTE
233,35,4,KATIRA
234,36,1,ORIENTAL
235,36,2,OCCIDENTAL
236,36,3,CARMEN
237,36,4,SAN NICOLÁS
238,36,5,AGUACALIENTE o SAN FRANCISCO
239,36,6,GUADALUPE o ARENILLA
240,36,7,CORRALILLO
241,36,8,TIERRA BLANCA
242,36,9,DULCE NOMBRE
243,36,10,LLANO GRANDE
244,36,11,QUEBRADILLA
245,37,1,PARAÍSO
246,37,2,SANTIAGO
247,37,3,OROSI
248,37,4,CACHÍ
249,37,5,LLANOS DE SANTA LUCÍA
250,38,1,TRES RÍOS
251,38,2,SAN DIEGO
252,38,3,SAN JUAN
253,38,4,SAN RAFAEL
254,38,5,CONCEPCIÓN
255,38,6,DULCE NOMBRE
256,38,7,SAN RAMÓN
257,38,8,RÍO AZUL
258,39,1,JUAN VIÑAS
259,39,2,TUCURRIQUE
260,39,3,PEJIBAYE
261,40,1,TURRIALBA
262,40,2,LA SUIZA
263,40,3,PERALTA
264,40,4,SANTA CRUZ
265,40,5,SANTA TERESITA
266,40,6,PAVONES
267,40,7,TUIS
268,40,8,TAYUTIC
269,40,9,SANTA ROSA
270,40,10,TRES EQUIS
271,40,11,LA ISABEL
272,40,12,CHIRRIPÓ
273,41,1,PACAYAS
274,41,2,CERVANTES
275,41,3,CAPELLADES
276,42,1,SAN RAFAEL
277,42,2,COT
278,42,3,POTRERO CERRADO
279,42,4,CIPRESES
280,42,5,SANTA ROSA
281,43,1,EL TEJAR
282,43,2,SAN ISIDRO
283,43,3,TOBOSI
284,43,4,PATIO DE AGUA
285,44,1,HEREDIA
286,44,2,MERCEDES
287,44,3,SAN FRANCISCO
288,44,4,ULLOA
289,44,5,VARABLANCA
290,45,1,BARVA
291,45,2,SAN PEDRO
292,45,3,SAN PABLO
293,45,4,SAN ROQUE
294,45,5,SANTA LUCÍA
295,45,6,SAN JOSÉ DE LA MONTAÑA
296,46,2,SAN VICENTE
297,46,3,SAN MIGUEL
298,46,4,PARACITO
299,46,5,SANTO TOMÁS
300,46,6,SANTA ROSA
301,46,7,TURES
302,46,8,PARÁ
303,47,1,SANTA BÁRBARA
304,47,2,SAN PEDRO
305,47,3,SAN JUAN
306,47,4,JESÚS
307,47,5,SANTO DOMINGO
308,47,6,PURABÁ
309,48,1,SAN RAFAEL
310,48,2,SAN JOSECITO
311,48,3,SANTIAGO
312,48,4,ÁNGELES
313,48,5,CONCEPCIÓN
314,49,1,SAN ISIDRO
315,49,2,SAN JOSÉ
316,49,3,CONCEPCIÓN
317,49,4,SAN FRANCISCO
318,50,1,SAN ANTONIO
319,50,2,LA RIBERA
320,50,3,LA ASUNCIÓN
321,51,1,SAN JOAQUÍN
322,51,2,BARRANTES
323,51,3,LLORENTE
324,52,1,SAN PABLO
325,53,1,PUERTO VIEJO
326,53,2,LA VIRGEN
327,53,3,LAS HORQUETAS
328,53,4,LLANURAS DEL GASPAR
329,53,5,CUREÑA
330,54,1,LIBERIA
331,54,2,CAÑAS DULCES
332,54,3,MAYORGA
333,54,4,NACASCOLO
334,54,5,CURUBANDÉ
335,55,1,NICOYA
336,55,2,MANSIÓN
337,55,3,SAN ANTONIO
338,55,4,QUEBRADA HONDA
339,55,5,SÁMARA
340,55,6,NOSARA
341,55,7,BELÉN DE NOSARITA
342,56,1,SANTA CRUZ
343,56,2,BOLSÓN
344,56,3,VEINTISIETE DE ABRIL
345,56,4,TEMPATE
346,56,5,CARTAGENA
347,56,6,CUAJINIQUIL
348,56,7,DIRIÁ
349,56,8,CABO VELAS
350,56,9,TAMARINDO
351,57,1,BAGACES
352,57,2,LA FORTUNA
353,57,3,MOGOTE
354,57,4,RÍO NARANJO
355,58,1,FILADELFIA
356,58,2,PALMIRA
357,58,3,SARDINAL
358,58,4,BELÉN
359,59,1,CAÑAS
360,59,2,PALMIRA
361,59,3,SAN MIGUEL
362,59,4,BEBEDERO
363,59,5,POROZAL
364,60,1,LAS JUNTAS
365,60,2,SIERRA
366,60,3,SAN JUAN
367,60,4,COLORADO
368,61,1,TILARÁN
369,61,2,QUEBRADA GRANDE
370,61,3,TRONADORA
371,61,4,SANTA ROSA
372,61,5,LÍBANO
373,61,6,TIERRAS MORENAS
374,61,7,ARENAL
375,62,1,CARMONA
376,62,2,SANTA RITA
377,62,3,ZAPOTAL
378,62,4,SAN PABLO
379,62,5,PORVENIR
380,62,6,BEJUCO
381,63,1,LA CRUZ
382,63,2,SANTA CECILIA
383,63,3,LA GARITA
384,63,4,SANTA ELENA
385,64,1,HOJANCHA
386,64,2,MONTE ROMO
387,64,3,PUERTO CARRILLO
388,64,4,HUACAS
389,65,1,PUNTARENAS
390,65,2,PITAHAYA
391,65,3,CHOMES
392,65,4,LEPANTO
393,65,5,PAQUERA
394,65,6,MANZANILLO
395,65,7,GUACIMAL
396,65,8,BARRANCA
397,65,9,MONTE VERDE
398,65,11,CÓBANO
399,65,12,CHACARITA
400,65,13,CHIRA
401,65,14,ACAPULCO
402,65,15,EL ROBLE
403,65,16,ARANCIBIA
404,66,1,ESPÍRITU SANTO
405,66,2,SAN JUAN GRANDE
406,66,3,MACACONA
407,66,4,SAN RAFAEL
408,66,5,SAN JERÓNIMO
409,66,6,CALDERA
410,67,1,BUENOS AIRES
411,67,2,VOLCÁN
412,67,3,POTRERO GRANDE
413,67,4,BORUCA
414,67,5,PILAS
415,67,6,COLINAS
416,67,7,CHÁNGUENA
417,67,8,BIOLLEY
418,67,9,BRUNKA
419,68,1,MIRAMAR
420,68,2,LA UNIÓN
421,68,3,SAN ISIDRO
422,69,1,PUERTO CORTÉS
423,69,2,PALMAR
424,69,3,SIERPE
425,69,4,BAHÍA BALLENA
426,69,5,PIEDRAS BLANCAS
427,69,6,BAHÍA DRAKE
428,70,1,QUEPOS
429,70,2,SAVEGRE
430,70,3,NARANJITO
431,71,1,GOLFITO
432,71,2,PUERTO JIMÉNEZ
433,71,3,GUAYCARÁ
434,71,4,PAVÓN
435,72,1,SAN VITO
436,72,2,SABALITO
437,72,3,AGUABUENA
438,72,4,LIMONCITO
439,72,5,PITTIER
440,72,6,GUTIERREZ BRAUN
441,73,1,PARRITA
442,74,1,CORREDOR
443,74,2,LA CUESTA
444,74,3,CANOAS
445,74,4,LAUREL
446,75,1,JACÓ
447,75,2,TÁRCOLES
448,76,1,LIMÓN
449,76,2,VALLE LA ESTRELLA
450,76,4,MATAMA
451,77,1,GUÁPILES
452,77,2,JIMÉNEZ
453,77,3,RITA
454,77,4,ROXANA
455,77,5,CARIARI
456,77,6,COLORADO
457,77,7,LA COLONIA
458,78,1,SIQUIRRES
459,78,2,PACUARITO
460,78,3,FLORIDA
461,78,4,GERMANIA
462,78,5,EL CAIRO
463,78,6,ALEGRÍA
464,79,1,BRATSI
465,79,2,SIXAOLA
466,79,3,CAHUITA
467,79,4,TELIRE
468,80,1,MATINA
469,80,2,BATÁN
470,80,3,CARRANDI
471,81,1,GUÁCIMO
472,81,2,MERCEDES
473,81,3,POCORA
474,81,4,RÍO JIMÉNEZ
475,81,05,DUACARÍ
